([5, 15], 'PER')
([41, 56], 'ORG')
([60, 67], 'LOC')
([436, 446], 'ORG')
([450, 460], 'LOC')
([882, 892], 'LOC')
([929, 932], 'ORG')
([2353, 2366], 'ORG')
([2391, 2399], 'ORG')
([355, 369], 'MISC')
([506, 525], 'PER')
([541, 547], 'LOC')
([474, 484], 'MISC')
([574, 584], 'LOC')
([631, 641], 'LOC')
([803, 807], 'LOC')
([158, 165], 'MISC')
([206, 215], 'LOC')
([227, 237], 'LOC')
([252, 259], 'LOC')
([311, 320], 'LOC')
([325, 328], 'ORG')
([333, 343], 'LOC')
([348, 351], 'ORG')
([356, 363], 'LOC')
([396, 402], 'ORG')
([507, 516], 'PER')
([593, 602], 'LOC')
([677, 687], 'LOC')
([797, 806], 'PER')
([853, 862], 'PER')
([127, 137], 'MISC')
([682, 699], 'PER')
([1916, 1921], 'LOC')
([2190, 2195], 'LOC')
([2224, 2230], 'MISC')
([2465, 2470], 'LOC')
([2481, 2490], 'LOC')
([2596, 2605], 'LOC')
([2611, 2620], 'LOC')
([2633, 2643], 'LOC')
([2665, 2671], 'MISC')
([3077, 3086], 'LOC')
([380, 384], 'PER')
([445, 449], 'LOC')
([451, 477], 'MISC')
([522, 526], 'PER')
([998, 1006], 'LOC')
([1033, 1040], 'LOC')
([1059, 1066], 'LOC')
([1297, 1303], 'MISC')
([1370, 1378], 'LOC')
([1409, 1415], 'LOC')
([1414, 1422], 'LOC')
([1426, 1434], 'LOC')
([365, 371], 'LOC')
([26, 33], 'LOC')
([96, 104], 'LOC')
([164, 173], 'LOC')
([763, 773], 'MISC')
([266, 277], 'PER')
([494, 504], 'LOC')
([542, 552], 'MISC')
([620, 629], 'LOC')
([785, 798], 'MISC')
([72, 77], 'LOC')
([129, 138], 'ORG')
([143, 152], 'LOC')
([184, 191], 'ORG')
([231, 236], 'LOC')
([437, 450], 'LOC')
([466, 475], 'LOC')
([542, 550], 'LOC')
([579, 586], 'MISC')
([681, 687], 'LOC')
([737, 744], 'LOC')
([769, 777], 'LOC')
([866, 875], 'LOC')
([930, 943], 'LOC')
([954, 963], 'LOC')
([1090, 1097], 'MISC')
([1236, 1243], 'MISC')
([1265, 1272], 'MISC')
([1321, 1328], 'MISC')
([1387, 1393], 'MISC')
([1406, 1413], 'MISC')
([1610, 1615], 'LOC')
([1693, 1698], 'LOC')
([1827, 1834], 'MISC')
([1954, 1961], 'MISC')
([50, 57], 'MISC')
([87, 105], 'PER')
([178, 191], 'ORG')
([204, 213], 'ORG')
([253, 260], 'MISC')
