([5, 15], 'PERSON')
([41, 56], 'ORG')
([60, 67], 'GPE')
([71, 75], 'DATE')
([88, 101], 'DATE')
([395, 406], 'DATE')
([450, 460], 'GPE')
([485, 506], 'DATE')
([513, 517], 'DATE')
([824, 831], 'DATE')
([856, 878], 'DATE')
([882, 892], 'PERSON')
([944, 968], 'DATE')
([1405, 1413], 'DATE')
([1473, 1484], 'DATE')
([1560, 1568], 'DATE')
([1915, 1930], 'DATE')
([1955, 1974], 'DATE')
([2136, 2144], 'DATE')
([2157, 2175], 'DATE')
([2353, 2366], 'ORG')
([2391, 2399], 'FAC')
([496, 500], 'DATE')
([506, 525], 'PERSON')
([541, 547], 'GPE')
([474, 484], 'ORG')
([574, 584], 'GPE')
([631, 641], 'GPE')
([803, 807], 'FAC')
([840, 846], 'ORG')
([1346, 1352], 'ORG')
([132, 138], 'ORG')
([158, 165], 'PERSON')
([206, 215], 'ORG')
([227, 237], 'ORG')
([252, 259], 'PERSON')
([303, 306], 'ORG')
([325, 328], 'ORG')
([333, 343], 'ORG')
([348, 351], 'ORG')
([396, 402], 'ORG')
([507, 516], 'GPE')
([543, 549], 'ORG')
([593, 602], 'GPE')
([677, 687], 'GPE')
([784, 790], 'ORG')
([797, 806], 'ORG')
([853, 862], 'GPE')
([914, 931], 'DATE')
([370, 381], 'DATE')
([1896, 1903], 'DATE')
([131, 137], 'ORG')
([400, 410], 'DATE')
([682, 699], 'PERSON')
([994, 1000], 'DATE')
([1656, 1662], 'ORG')
([1916, 1921], 'NORP')
([2065, 2078], 'DATE')
([2190, 2195], 'LAW')
([2224, 2230], 'NORP')
([2465, 2470], 'NORP')
([2481, 2490], 'FAC')
([2568, 2569], 'NORP')
([2592, 2605], 'LAW')
([2607, 2620], 'ORG')
([2647, 2659], 'DATE')
([2665, 2671], 'NORP')
([3077, 3086], 'ORG')
([445, 449], 'FAC')
([471, 477], 'ORG')
([998, 1006], 'GPE')
([1033, 1040], 'GPE')
([1059, 1066], 'GPE')
([1297, 1303], 'NORP')
([1370, 1378], 'LOC')
([1409, 1415], 'GPE')
([97, 102], 'DATE')
([828, 834], 'DATE')
([1414, 1422], 'ORG')
([1426, 1434], 'ORG')
([365, 371], 'GPE')
([1186, 1192], 'ORG')
([1234, 1235], 'NORP')
([1244, 1254], 'DATE')
([26, 33], 'GPE')
([96, 104], 'ORG')
([164, 173], 'ORG')
([401, 408], 'DATE')
([266, 277], 'PERSON')
([494, 504], 'PERSON')
([542, 552], 'PERSON')
([620, 629], 'GPE')
([785, 798], 'LOC')
([24, 43], 'DATE')
([72, 77], 'ORG')
([125, 152], 'ORG')
([437, 450], 'LOC')
([466, 475], 'LOC')
([542, 550], 'LOC')
([579, 586], 'NORP')
([681, 687], 'GPE')
([737, 744], 'GPE')
([769, 777], 'LOC')
([866, 875], 'LOC')
([930, 943], 'LOC')
([954, 963], 'ORG')
([1056, 1072], 'DATE')
([1090, 1097], 'NORP')
([1236, 1243], 'NORP')
([1265, 1272], 'NORP')
([1321, 1328], 'NORP')
([1387, 1393], 'NORP')
([1406, 1413], 'NORP')
([1610, 1615], 'LOC')
([1693, 1698], 'LOC')
([1827, 1834], 'NORP')
([1954, 1961], 'NORP')
([50, 57], 'NORP')
([95, 105], 'PERSON')
([204, 213], 'GPE')
([253, 260], 'NORP')
([326, 333], 'NORP')
([437, 444], 'NORP')
([474, 484], 'PERSON')
([588, 605], 'PERSON')
([643, 651], 'NORP')
([964, 974], 'GPE')
([1184, 1201], 'DATE')
([716, 726], 'PERSON')
([756, 764], 'PERSON')
([782, 789], 'ORG')
([872, 882], 'GPE')
([896, 906], 'GPE')
([1082, 1091], 'LOC')
([1260, 1270], 'GPE')
([32, 38], 'ORG')
([128, 134], 'GPE')
([138, 142], 'DATE')
([160, 167], 'ORG')
([574, 579], 'ORG')
([1088, 1097], 'ORG')
([829, 834], 'LOC')
([909, 921], 'PRODUCT')
([967, 972], 'ORG')
([1018, 1023], 'ORG')
([1071, 1078], 'NORP')
([1141, 1146], 'GPE')
([1196, 1201], 'ORG')
([44, 53], 'PRODUCT')
([248, 253], 'GPE')
([289, 299], 'DATE')
([467, 482], 'ORG')
([493, 499], 'ORG')
([601, 609], 'NORP')
([722, 729], 'NORP')
([737, 743], 'NORP')
([806, 810], 'DATE')
([836, 848], 'GPE')
([26, 31], 'ORG')
([76, 81], 'ORG')
([133, 138], 'ORG')
([382, 395], 'ORG')
([610, 617], 'NORP')
([660, 668], 'LOC')
([710, 718], 'LOC')
([763, 769], 'NORP')
([808, 816], 'LOC')
([850, 858], 'LOC')
([886, 899], 'LAW')
([930, 938], 'ORG')
([369, 378], 'GPE')
([425, 433], 'ORG')
([472, 487], 'LOC')
([750, 759], 'GPE')
([781, 789], 'ORG')
([810, 823], 'ORG')
([828, 855], 'LAW')
([897, 905], 'ORG')
([936, 945], 'GPE')
([1053, 1062], 'GPE')
([1334, 1343], 'GPE')
([1372, 1381], 'GPE')
([1405, 1413], 'ORG')
([1432, 1440], 'LOC')
([1547, 1553], 'ORG')
([1658, 1661], 'ORG')
([1666, 1672], 'PERSON')
([1701, 1710], 'PRODUCT')
([1831, 1844], 'WORK_OF_ART')
([1942, 1950], 'ORG')
([1970, 1976], 'NORP')
([2033, 2046], 'WORK_OF_ART')
([2051, 2057], 'ORG')
([2184, 2192], 'ORG')
([2713, 2719], 'NORP')
([2739, 2747], 'LOC')
([2796, 2798], 'GPE')
([2903, 2920], 'FAC')
([2998, 3004], 'NORP')
([3052, 3058], 'NORP')
([3239, 3245], 'NORP')
([3392, 3400], 'LOC')
([8, 25], 'PERSON')
([86, 92], 'GPE')
([110, 117], 'GPE')
([149, 155], 'GPE')
([182, 191], 'PERSON')
([335, 342], 'GPE')
([526, 534], 'LOC')
([577, 579], 'ORG')
([710, 724], 'PERSON')
([1345, 1352], 'GPE')
([1708, 1712], 'DATE')
([1745, 1757], 'DATE')
([1979, 1985], 'ORG')
([2186, 2200], 'PERSON')
([2247, 2253], 'ORG')
([2369, 2379], 'ORG')
([127, 137], 'ORG')
([188, 205], 'PERSON')
([258, 265], 'GPE')
([370, 378], 'GPE')
([536, 553], 'FAC')
([591, 598], 'GPE')
([375, 389], 'DATE')
([459, 466], 'GPE')
([712, 719], 'NORP')
([731, 744], 'NORP')
([760, 767], 'NORP')
([934, 948], 'PERSON')
([975, 982], 'GPE')
([1147, 1155], 'DATE')
([1179, 1192], 'LOC')
([1250, 1259], 'ORG')
([1266, 1271], 'GPE')
([1280, 1289], 'ORG')
([1385, 1390], 'PERSON')
([1520, 1529], 'DATE')
([1569, 1575], 'NORP')
([1601, 1608], 'ORG')
([1626, 1634], 'ORG')
([1659, 1667], 'PERSON')
([1692, 1697], 'ORG')
([1720, 1732], 'LOC')
([1736, 1740], 'DATE')
([69, 75], 'ORG')
([507, 515], 'PERSON')
([1119, 1126], 'ORG')
([1211, 1227], 'LOC')
([60, 74], 'LOC')
([145, 156], 'GPE')
([223, 231], 'NORP')
([379, 388], 'GPE')
([400, 415], 'EVENT')
([440, 451], 'GPE')
([464, 480], 'LOC')
([494, 502], 'NORP')
([581, 587], 'GPE')
([605, 616], 'GPE')
([645, 651], 'ORG')
([665, 671], 'ORG')
([738, 748], 'DATE')
([867, 873], 'ORG')
([904, 910], 'ORG')
([972, 974], 'GPE')
([1006, 1008], 'GPE')
([1020, 1027], 'ORG')
([1041, 1047], 'ORG')
([1068, 1070], 'GPE')
([1193, 1205], 'LOC')
([1239, 1245], 'ORG')
([1273, 1283], 'GPE')
([1312, 1316], 'DATE')
([1343, 1351], 'NORP')
([1361, 1380], 'ORG')
([1439, 1445], 'NORP')
([1471, 1477], 'ORG')
([1652, 1663], 'NORP')
([1981, 1988], 'PERSON')
([2003, 2013], 'DATE')
([2021, 2028], 'PERSON')
([99, 117], 'DATE')
([742, 753], 'GPE')
([773, 792], 'DATE')
([38, 59], 'DATE')
([80, 94], 'DATE')
([160, 166], 'GPE')
([204, 214], 'GPE')
([220, 230], 'GPE')
([380, 386], 'GPE')
([410, 430], 'DATE')
([447, 459], 'LOC')
([521, 538], 'DATE')
([550, 555], 'DATE')
([672, 681], 'DATE')
([1078, 1084], 'PERSON')
([1145, 1153], 'NORP')
([1172, 1181], 'GPE')
([1254, 1260], 'GPE')
([1404, 1413], 'ORG')
([1551, 1558], 'GPE')
([1560, 1570], 'PERSON')
([1575, 1583], 'PERSON')
([1588, 1596], 'PERSON')
([1672, 1679], 'PERSON')
([1699, 1708], 'ORG')
([177, 203], 'DATE')
([239, 249], 'DATE')
